rating1,type,sentence1,modal2,reverse_sent_order,percent_window,rating2,workerid,rating_other,image,condition,sentence2,Answer.condition,Answer.time_in_minutes,modal1
0.89,aisleangry,You'll probably get an aisle seat,might,0,10,0.10999999999999999,1,0,./stim/images/prob_10_2.png,,You might get an aisle seat,undefined,13.085866666666666,probably
0,aisleangry,You'll probably get an aisle seat,might,0,100,0,1,1,./stim/images/prob_100_3.png,,You might get an aisle seat,undefined,13.085866666666666,probably
0.79,aisleangry,You'll probably get an aisle seat,might,0,40,0.20999999999999985,1,1.1102230246251565e-16,./stim/images/prob_40_2.png,,You might get an aisle seat,undefined,13.085866666666666,probably
0.08,window_angry,You'll probably get a window seat,might,0,25,0.56,1,0.36,./stim/images/prob_25_1.png,,You might get a window seat,undefined,13.085866666666666,probably
0.21,window_angry,You'll probably get a window seat,might,0,50,0.62,1,0.16999999999999993,./stim/images/prob_50_3.png,,You might get a window seat,undefined,13.085866666666666,probably
0.31,aisleangry,You'll probably get an aisle seat,might,0,50,0.69,1,0,./stim/images/prob_50_1.png,,You might get an aisle seat,undefined,13.085866666666666,probably
0.42,window_angry,You'll probably get a window seat,might,0,60,0.58,1,0,./stim/images/prob_60_4.png,,You might get a window seat,undefined,13.085866666666666,probably
0.48,aisleangry,You'll probably get an aisle seat,might,0,50,0.45,1,0.07000000000000006,./stim/images/prob_50_5.png,,You might get an aisle seat,undefined,13.085866666666666,probably
0.12,test,,,,,0.68,2,,,angry,,undefined,14.425166666666666,
0.09,aisleangry,You'll probably get an aisle seat,might,1,25,0.4800000000000001,2,0.43,./stim/images/prob_25_2.png,,You might get an aisle seat,undefined,14.425166666666666,probably
0.24,window_angry,You'll probably get a window seat,might,1,40,0.47,2,0.29000000000000004,./stim/images/prob_40_4.png,,You might get a window seat,undefined,14.425166666666666,probably
0.06,window_angry,You'll probably get a window seat,might,1,10,0.07,2,0.8700000000000001,./stim/images/prob_10_1.png,,You might get a window seat,undefined,14.425166666666666,probably
0,aisleangry,You'll probably get an aisle seat,might,1,100,0,2,1,./stim/images/prob_100_3.png,,You might get an aisle seat,undefined,14.425166666666666,probably
