mood,text,audio,prob_rating,check2,request,workerid,catch_trial,order,check1,condtion,seat,image,modal
control,You'll probably get one.,./stim/audio/control_probably1_s2.mp3,0.91,./stim/images/exposure_25_8.png,./stim/text/text-1.png,7,0,0,./stim/images/exposure_90_8.png,4,a window seat (red),./stim/images/exposure_90_8.png,probably
control,You'll get one.,./stim/audio/control_bare_s2.mp3,1,./stim/images/exposure_60_3.png,./stim/text/text-1.png,7,1,0,./stim/images/prob_100_1.png,4,a window seat (red),./stim/images/prob_100_1.png,bare
control,You might get one.,./stim/audio/control_might1_s2.mp3,0.52,./stim/images/prob_100_1.png,./stim/text/text-1.png,7,1,0,./stim/images/exposure_60_3.png,4,a window seat (red),./stim/images/exposure_60_3.png,might
control,You might get one.,./stim/audio/control_might1_s2.mp3,0.43,./stim/images/exposure_60_8.png,./stim/text/text-1.png,7,0,1,./stim/images/prob_100_1.png,4,a window seat (red),./stim/images/exposure_60_8.png,might
control,You'll probably get one.,./stim/audio/control_probably1_s1.mp3,0.96,./stim/images/exposure_90_2.png,./stim/text/text-1.png,8,1,1,./stim/images/exposure_25_2.png,4,a window seat (red),./stim/images/exposure_90_2.png,probably
control,You'll get one.,./stim/audio/control_bare_s1.mp3,1,./stim/images/prob_100_1.png,./stim/text/text-1.png,8,1,1,./stim/images/exposure_60_2.png,4,a window seat (red),./stim/images/prob_100_1.png,bare
control,You might get one.,./stim/audio/control_might2_s1.mp3,0.68,./stim/images/prob_100_1.png,./stim/text/text-2.png,8,1,0,./stim/images/exposure_40_2.png,4,an aisle seat (blue),./stim/images/exposure_40_2.png,might
control,You'll get one.,./stim/audio/control_bare_s1.mp3,1,./stim/images/exposure_60_5.png,./stim/text/text-1.png,8,0,0,./stim/images/prob_100_1.png,4,a window seat (red),./stim/images/prob_100_1.png,bare
control,You'll probably get one.,./stim/audio/control_probably1_s1.mp3,0.93,./stim/images/exposure_25_5.png,./stim/text/text-1.png,8,0,0,./stim/images/exposure_90_5.png,4,a window seat (red),./stim/images/exposure_90_5.png,probably
control,You might get one.,./stim/audio/control_might1_s1.mp3,0.64,./stim/images/prob_100_1.png,./stim/text/text-1.png,8,1,0,./stim/images/exposure_60_2.png,4,a window seat (red),./stim/images/exposure_60_2.png,might
control,You'll probably get one.,./stim/audio/control_probably1_s1.mp3,0.86,./stim/images/exposure_25_9.png,./stim/text/text-1.png,8,0,0,./stim/images/exposure_90_9.png,4,a window seat (red),./stim/images/exposure_90_9.png,probably
control,You might get one.,./stim/audio/control_might2_s1.mp3,0.62,./stim/images/exposure_40_9.png,./stim/text/text-2.png,8,0,1,./stim/images/prob_100_1.png,4,an aisle seat (blue),./stim/images/exposure_40_9.png,might
control,You'll probably get one.,./stim/audio/control_probably2_s1.mp3,0.91,./stim/images/exposure_75_2.png,./stim/text/text-2.png,8,1,0,./stim/images/exposure_10_2.png,4,an aisle seat (blue),./stim/images/exposure_10_2.png,probably
control,You might get one.,./stim/audio/control_might2_s1.mp3,0.61,./stim/images/prob_100_1.png,./stim/text/text-2.png,8,0,0,./stim/images/exposure_40_5.png,4,an aisle seat (blue),./stim/images/exposure_40_5.png,might
control,You'll get one.,./stim/audio/control_bare_s1.mp3,1,./stim/images/prob_100_1.png,./stim/text/text-1.png,8,0,1,./stim/images/exposure_60_9.png,4,a window seat (red),./stim/images/prob_100_1.png,bare
control,You'll probably get one.,./stim/audio/control_probably2_s1.mp3,0.88,./stim/images/exposure_10_5.png,./stim/text/text-2.png,8,0,1,./stim/images/exposure_75_5.png,4,an aisle seat (blue),./stim/images/exposure_10_5.png,probably
control,You might get one.,./stim/audio/control_might1_s1.mp3,0.68,./stim/images/prob_100_1.png,./stim/text/text-1.png,8,0,0,./stim/images/exposure_60_5.png,4,a window seat (red),./stim/images/exposure_60_5.png,might
control,You'll get one.,./stim/audio/control_bare_s1.mp3,0.91,./stim/images/prob_100_1.png,./stim/text/text-1.png,9,1,1,./stim/images/exposure_60_1.png,4,a window seat (red),./stim/images/prob_100_1.png,bare
control,You'll probably get one.,./stim/audio/control_probably1_s1.mp3,0.88,./stim/images/exposure_25_3.png,./stim/text/text-1.png,9,0,0,./stim/images/exposure_90_3.png,4,a window seat (red),./stim/images/exposure_90_3.png,probably
control,You might get one.,./stim/audio/control_might2_s1.mp3,0.48,./stim/images/prob_100_1.png,./stim/text/text-2.png,9,0,0,./stim/images/exposure_40_3.png,4,an aisle seat (blue),./stim/images/exposure_40_3.png,might
control,You'll get one.,./stim/audio/control_bare_s1.mp3,0.69,./stim/images/prob_100_1.png,./stim/text/text-1.png,9,0,1,./stim/images/exposure_60_9.png,4,a window seat (red),./stim/images/prob_100_1.png,bare
control,You might get one.,./stim/audio/control_might1_s1.mp3,0.97,./stim/images/exposure_60_9.png,./stim/text/text-1.png,9,0,1,./stim/images/prob_100_1.png,4,a window seat (red),./stim/images/exposure_60_9.png,might
control,You'll get one.,./stim/audio/control_bare_s1.mp3,0.38,./stim/images/prob_100_1.png,./stim/text/text-1.png,9,0,1,./stim/images/exposure_60_3.png,4,a window seat (red),./stim/images/prob_100_1.png,bare
