order,prob_rating,audio,mood,check1,workerid,catch_trial,text,condtion,modal,seat,check2,request,image
1,0,./stim/audio/angry_bare_s2.mp3,pessimist,./stim/images/exposure_60_7.png,24,0,You'll get one.,6,bare,a window seat (red),./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/prob_100_1.png
1,0.49,./stim/audio/angry_probably2_s2.mp3,pessimist,./stim/images/prob_100_1.png,24,0,You'll probably get one.,6,probably,an aisle seat (blue),./stim/images/exposure_40_2.png,./stim/text/text-2.png,./stim/images/exposure_40_2.png
1,0.2,./stim/audio/angry_might1_s2.mp3,pessimist,./stim/images/exposure_90_2.png,24,0,You might get one.,6,might,a window seat (red),./stim/images/exposure_25_2.png,./stim/text/text-1.png,./stim/images/exposure_25_2.png
0,1,./stim/audio/angry_bare_s2.mp3,pessimist,./stim/images/prob_100_1.png,24,0,You'll get one.,6,bare,a window seat (red),./stim/images/exposure_60_2.png,./stim/text/text-1.png,./stim/images/prob_100_1.png
1,0.63,./stim/audio/angry_probably2_s2.mp3,pessimist,./stim/images/prob_100_1.png,24,1,You'll probably get one.,6,probably,an aisle seat (blue),./stim/images/exposure_40_5.png,./stim/text/text-2.png,./stim/images/exposure_40_5.png
1,0.73,./stim/audio/angry_probably1_s2.mp3,pessimist,./stim/images/prob_100_1.png,24,0,You'll probably get one.,6,probably,a window seat (red),./stim/images/exposure_60_7.png,./stim/text/text-1.png,./stim/images/exposure_60_7.png
0,0.19,./stim/audio/angry_might2_s2.mp3,pessimist,./stim/images/exposure_75_2.png,24,0,You might get one.,6,might,an aisle seat (blue),./stim/images/exposure_10_2.png,./stim/text/text-2.png,./stim/images/exposure_75_2.png
0,0.73,./stim/audio/angry_probably1_s2.mp3,pessimist,./stim/images/exposure_60_2.png,24,0,You'll probably get one.,6,probably,a window seat (red),./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/exposure_60_2.png
0,0.92,./stim/audio/angry_probably1_s1.mp3,pessimist,./stim/images/exposure_60_8.png,25,0,You'll probably get one.,6,probably,a window seat (red),./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/exposure_60_8.png
0,0.87,./stim/audio/angry_might2_s1.mp3,pessimist,./stim/images/exposure_75_10.png,25,0,You might get one.,6,might,an aisle seat (blue),./stim/images/exposure_10_10.png,./stim/text/text-2.png,./stim/images/exposure_75_10.png
1,0.83,./stim/audio/angry_might1_s1.mp3,pessimist,./stim/images/exposure_90_8.png,25,0,You might get one.,6,might,a window seat (red),./stim/images/exposure_25_8.png,./stim/text/text-1.png,./stim/images/exposure_25_8.png
1,0.99,./stim/audio/angry_probably2_s1.mp3,pessimist,./stim/images/prob_100_1.png,25,0,You'll probably get one.,6,probably,an aisle seat (blue),./stim/images/exposure_40_8.png,./stim/text/text-2.png,./stim/images/exposure_40_8.png
1,1,./stim/audio/angry_might2_s1.mp3,pessimist,./stim/images/exposure_10_8.png,25,0,You might get one.,6,might,an aisle seat (blue),./stim/images/exposure_75_8.png,./stim/text/text-2.png,./stim/images/exposure_75_8.png
0,1,./stim/audio/angry_probably1_s1.mp3,pessimist,./stim/images/exposure_60_10.png,25,0,You'll probably get one.,6,probably,a window seat (red),./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/exposure_60_10.png
1,0.74,./stim/audio/angry_might1_s1.mp3,pessimist,./stim/images/exposure_90_5.png,25,1,You might get one.,6,might,a window seat (red),./stim/images/exposure_25_5.png,./stim/text/text-1.png,./stim/images/exposure_25_5.png
1,1,./stim/audio/angry_bare_s1.mp3,pessimist,./stim/images/exposure_60_5.png,25,1,You'll get one.,6,bare,a window seat (red),./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/prob_100_1.png
0,1,./stim/audio/angry_bare_s1.mp3,pessimist,./stim/images/prob_100_1.png,25,0,You'll get one.,6,bare,a window seat (red),./stim/images/exposure_60_10.png,./stim/text/text-1.png,./stim/images/prob_100_1.png
1,0.85,./stim/audio/angry_probably1_s1.mp3,pessimist,./stim/images/prob_100_1.png,25,1,You'll probably get one.,6,probably,a window seat (red),./stim/images/exposure_60_5.png,./stim/text/text-1.png,./stim/images/exposure_60_5.png
0,0.88,./stim/audio/angry_probably2_s1.mp3,pessimist,./stim/images/exposure_40_5.png,25,1,You'll probably get one.,6,probably,an aisle seat (blue),./stim/images/prob_100_1.png,./stim/text/text-2.png,./stim/images/exposure_40_5.png
0,0.68,./stim/audio/angry_might2_s1.mp3,pessimist,./stim/images/exposure_75_5.png,25,1,You might get one.,6,might,an aisle seat (blue),./stim/images/exposure_10_5.png,./stim/text/text-2.png,./stim/images/exposure_75_5.png
1,1,./stim/audio/angry_bare_s1.mp3,pessimist,./stim/images/exposure_60_8.png,25,0,You'll get one.,6,bare,a window seat (red),./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/prob_100_1.png
1,0.58,./stim/audio/angry_bare_s2.mp3,pessimist,./stim/images/exposure_60_2.png,26,1,You'll get one.,6,bare,a window seat (red),./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/prob_100_1.png
0,0.63,./stim/audio/angry_might2_s2.mp3,pessimist,./stim/images/exposure_75_3.png,26,0,You might get one.,6,might,an aisle seat (blue),./stim/images/exposure_10_3.png,./stim/text/text-2.png,./stim/images/exposure_75_3.png
