image,text,audio,workerid,condtion,check2,prob_rating,modal,order,mood,request,seat,check1,catch_trial
./stim/images/prob_100_1.png,You'll get one.,./stim/audio/happy_bare_s2.mp3,6,5,./stim/images/exposure_60_4.png,1,bare,0,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/prob_100_1.png,0
./stim/images/exposure_40_6.png,You might get one.,./stim/audio/happy_might2_s2.mp3,6,5,./stim/images/exposure_40_6.png,0.5,might,1,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/prob_100_1.png,1
./stim/images/prob_100_1.png,You'll get one.,./stim/audio/happy_bare_s2.mp3,6,5,./stim/images/exposure_60_6.png,1,bare,0,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/prob_100_1.png,1
./stim/images/exposure_40_8.png,You might get one.,./stim/audio/happy_might2_s2.mp3,6,5,./stim/images/prob_100_1.png,0.55,might,0,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/exposure_40_8.png,0
./stim/images/exposure_10_8.png,You'll probably get one.,./stim/audio/happy_probably2_s2.mp3,6,5,./stim/images/exposure_10_8.png,0.92,probably,1,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/exposure_75_8.png,0
./stim/images/exposure_40_4.png,You might get one.,./stim/audio/happy_might2_s2.mp3,6,5,./stim/images/exposure_40_4.png,0.73,might,1,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/prob_100_1.png,0
./stim/images/exposure_90_4.png,You'll probably get one.,./stim/audio/happy_probably1_s1.mp3,7,5,./stim/images/exposure_90_4.png,1,probably,1,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_25_4.png,0
./stim/images/exposure_60_4.png,You might get one.,./stim/audio/happy_might1_s1.mp3,7,5,./stim/images/prob_100_1.png,0.98,might,0,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_60_4.png,0
./stim/images/prob_100_1.png,You'll get one.,./stim/audio/happy_bare_s1.mp3,7,5,./stim/images/prob_100_1.png,0.99,bare,1,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_60_7.png,0
./stim/images/prob_100_1.png,You'll get one.,./stim/audio/happy_bare_s1.mp3,7,5,./stim/images/prob_100_1.png,0.98,bare,1,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_60_4.png,0
./stim/images/exposure_40_7.png,You might get one.,./stim/audio/happy_might2_s1.mp3,7,5,./stim/images/prob_100_1.png,0.99,might,0,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/exposure_40_7.png,0
./stim/images/exposure_60_2.png,You might get one.,./stim/audio/happy_might1_s1.mp3,7,5,./stim/images/prob_100_1.png,0.97,might,0,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_60_2.png,1
./stim/images/prob_100_1.png,You'll get one.,./stim/audio/happy_bare_s1.mp3,7,5,./stim/images/exposure_60_2.png,0.97,bare,0,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/prob_100_1.png,1
./stim/images/exposure_90_2.png,You'll probably get one.,./stim/audio/happy_probably1_s1.mp3,7,5,./stim/images/exposure_25_2.png,0.99,probably,0,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_90_2.png,1
./stim/images/exposure_90_7.png,You'll probably get one.,./stim/audio/happy_probably1_s1.mp3,7,5,./stim/images/exposure_90_7.png,0.97,probably,1,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_25_7.png,0
./stim/images/exposure_40_2.png,You might get one.,./stim/audio/happy_might2_s1.mp3,7,5,./stim/images/exposure_40_2.png,0.99,might,1,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/prob_100_1.png,1
./stim/images/exposure_40_4.png,You might get one.,./stim/audio/happy_might2_s1.mp3,7,5,./stim/images/prob_100_1.png,0.98,might,0,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/exposure_40_4.png,0
./stim/images/exposure_10_4.png,You'll probably get one.,./stim/audio/happy_probably2_s1.mp3,7,5,./stim/images/exposure_10_4.png,0.97,probably,1,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/exposure_75_4.png,0
./stim/images/exposure_10_2.png,You'll probably get one.,./stim/audio/happy_probably2_s1.mp3,7,5,./stim/images/exposure_10_2.png,1,probably,1,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/exposure_75_2.png,1
./stim/images/exposure_90_10.png,You'll probably get one.,./stim/audio/happy_probably1_s1.mp3,8,5,./stim/images/exposure_90_10.png,0.86,probably,1,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_25_10.png,1
./stim/images/exposure_10_2.png,You'll probably get one.,./stim/audio/happy_probably2_s1.mp3,8,5,./stim/images/exposure_10_2.png,0.97,probably,1,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/exposure_75_2.png,0
./stim/images/exposure_10_2.png,You'll probably get one.,./stim/audio/happy_probably2_s1.mp3,8,5,./stim/images/exposure_10_2.png,0.97,probably,1,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/exposure_75_2.png,0
./stim/images/exposure_40_2.png,You might get one.,./stim/audio/happy_might2_s1.mp3,8,5,./stim/images/prob_100_1.png,0.87,might,0,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/exposure_40_2.png,0
./stim/images/exposure_40_2.png,You might get one.,./stim/audio/happy_might2_s1.mp3,8,5,./stim/images/prob_100_1.png,0.87,might,0,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/exposure_40_2.png,0
