mood,seat,audio,condtion,modal,catch_trial,catch_trial_answer_correct,check2,check1,text,workerid,image,order,request
pessimist,aisle,./stim/audio/angry_probably2_s2.mp3,3,probably,1,1,./stim/images/exposure_10_3.png,./stim/images/exposure_75_3.png,You'll probably get one.,1,./stim/images/exposure_10_3.png,1,./stim/text/text-2.png
pessimist,window,./stim/audio/angry_might1_s2.mp3,3,might,1,1,./stim/images/exposure_60_7.png,./stim/images/prob_100_1.png,You might get one.,1,./stim/images/exposure_60_7.png,1,./stim/text/text-1.png
pessimist,window,./stim/audio/angry_bare_s2.mp3,3,bare,1,1,./stim/images/exposure_60_7.png,./stim/images/prob_100_1.png,You'll get one.,1,./stim/images/prob_100_1.png,0,./stim/text/text-1.png
pessimist,window,./stim/audio/angry_probably1_s2.mp3,3,probably,1,1,./stim/images/exposure_90_7.png,./stim/images/exposure_25_7.png,You'll probably get one.,1,./stim/images/exposure_90_7.png,1,./stim/text/text-1.png
pessimist,aisle,./stim/audio/angry_probably2_s2.mp3,3,probably,1,1,./stim/images/exposure_10_7.png,./stim/images/exposure_75_7.png,You'll probably get one.,1,./stim/images/exposure_10_7.png,1,./stim/text/text-2.png
pessimist,aisle,./stim/audio/angry_probably2_s2.mp3,3,probably,0,-1,./stim/images/exposure_75_2.png,./stim/images/exposure_10_2.png,You'll probably get one.,1,./stim/images/exposure_10_2.png,0,./stim/text/text-2.png
pessimist,aisle,./stim/audio/angry_might2_s2.mp3,3,might,0,-1,./stim/images/prob_100_1.png,./stim/images/exposure_40_10.png,You might get one.,1,./stim/images/exposure_40_10.png,0,./stim/text/text-2.png
pessimist,window,./stim/audio/angry_probably1_s2.mp3,3,probably,0,-1,./stim/images/exposure_25_1.png,./stim/images/exposure_90_1.png,You'll probably get one.,1,./stim/images/exposure_90_1.png,0,./stim/text/text-1.png
pessimist,window,./stim/audio/angry_bare_s2.mp3,3,bare,0,-1,./stim/images/exposure_60_10.png,./stim/images/prob_100_1.png,You'll get one.,1,./stim/images/prob_100_1.png,0,./stim/text/text-1.png
pessimist,window,./stim/audio/angry_bare_s2.mp3,3,bare,1,1,./stim/images/prob_100_1.png,./stim/images/exposure_60_3.png,You'll get one.,1,./stim/images/prob_100_1.png,1,./stim/text/text-1.png
pessimist,aisle,./stim/audio/angry_might2_s2.mp3,3,might,1,1,./stim/images/prob_100_1.png,./stim/images/exposure_40_3.png,You might get one.,1,./stim/images/exposure_40_3.png,0,./stim/text/text-2.png
pessimist,aisle,./stim/audio/angry_might2_s2.mp3,3,might,1,1,./stim/images/exposure_40_7.png,./stim/images/prob_100_1.png,You might get one.,1,./stim/images/exposure_40_7.png,1,./stim/text/text-2.png
