request,workerid,order,prob_rating,audio,catch_trial,mood,condtion,modal,text,check1,image,check2,seat
./stim/text/text-2.png,1,0,0.84,./stim/audio/angry_probably2_s2.mp3,0,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_10_10.png,./stim/images/exposure_10_10.png,./stim/images/exposure_75_10.png,an aisle seat (blue)
./stim/text/text-1.png,1,0,0.41,./stim/audio/angry_might1_s2.mp3,1,pessimist,3,might,You might get one.,./stim/images/exposure_60_3.png,./stim/images/exposure_60_3.png,./stim/images/prob_100_1.png,a window seat (red)
./stim/text/text-1.png,1,0,0.91,./stim/audio/angry_probably1_s2.mp3,0,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_90_10.png,./stim/images/exposure_90_10.png,./stim/images/exposure_25_10.png,a window seat (red)
./stim/text/text-1.png,1,1,0.94,./stim/audio/angry_probably1_s2.mp3,1,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_25_3.png,./stim/images/exposure_90_3.png,./stim/images/exposure_90_3.png,a window seat (red)
./stim/text/text-2.png,1,0,0.85,./stim/audio/angry_might2_s2.mp3,0,pessimist,3,might,You might get one.,./stim/images/exposure_40_7.png,./stim/images/exposure_40_7.png,./stim/images/prob_100_1.png,an aisle seat (blue)
./stim/text/text-1.png,2,1,0.16,./stim/audio/angry_might1_s1.mp3,0,pessimist,3,might,You might get one.,./stim/images/prob_100_1.png,./stim/images/exposure_60_10.png,./stim/images/exposure_60_10.png,a window seat (red)
./stim/text/text-2.png,2,1,0,./stim/audio/angry_might2_s1.mp3,0,pessimist,3,might,You might get one.,./stim/images/prob_100_1.png,./stim/images/exposure_40_9.png,./stim/images/exposure_40_9.png,an aisle seat (blue)
./stim/text/text-1.png,2,0,0.6,./stim/audio/angry_might1_s1.mp3,1,pessimist,3,might,You might get one.,./stim/images/exposure_60_7.png,./stim/images/exposure_60_7.png,./stim/images/prob_100_1.png,a window seat (red)
./stim/text/text-2.png,2,1,0.89,./stim/audio/angry_probably2_s1.mp3,1,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_75_7.png,./stim/images/exposure_10_7.png,./stim/images/exposure_10_7.png,an aisle seat (blue)
./stim/text/text-2.png,2,1,0.99,./stim/audio/angry_might2_s1.mp3,0,pessimist,3,might,You might get one.,./stim/images/prob_100_1.png,./stim/images/exposure_40_10.png,./stim/images/exposure_40_10.png,an aisle seat (blue)
