reverse_sent_order,type,Answer.time_in_minutes,sentence1,workerid,percent_window,Answer.condition,rating2,modal1,rating_other,image,modal2,sentence2,condition,rating1
0,aisleangry,13.085866666666666,You'll probably get an aisle seat,1,50,undefined,0.45,probably,0.07000000000000006,./stim/images/prob_50_5.png,might,You might get an aisle seat,,0.48
,test,14.425166666666666,,2,,undefined,0.68,,,,,,angry,0.12
1,aisleangry,14.425166666666666,You'll probably get an aisle seat,2,25,undefined,0.4800000000000001,probably,0.43,./stim/images/prob_25_2.png,might,You might get an aisle seat,,0.09
1,window_angry,14.425166666666666,You'll probably get a window seat,2,40,undefined,0.47,probably,0.29000000000000004,./stim/images/prob_40_4.png,might,You might get a window seat,,0.24
1,window_angry,14.425166666666666,You'll probably get a window seat,2,10,undefined,0.07,probably,0.8700000000000001,./stim/images/prob_10_1.png,might,You might get a window seat,,0.06
1,aisleangry,14.425166666666666,You'll probably get an aisle seat,2,100,undefined,0,probably,1,./stim/images/prob_100_3.png,might,You might get an aisle seat,,0
1,aisleangry,14.425166666666666,You'll probably get an aisle seat,2,75,undefined,0.64,probably,0.30000000000000004,./stim/images/prob_75_3.png,might,You might get an aisle seat,,0.06
1,window_angry,14.425166666666666,You'll probably get a window seat,2,75,undefined,0.38,probably,0.06000000000000005,./stim/images/prob_75_5.png,might,You might get a window seat,,0.56
1,aisleangry,14.425166666666666,You'll probably get an aisle seat,2,40,undefined,0.33,probably,0.16999999999999993,./stim/images/prob_40_3.png,might,You might get an aisle seat,,0.5
1,aisleangry,14.425166666666666,You'll probably get an aisle seat,2,50,undefined,0.49,probably,0.20999999999999996,./stim/images/prob_50_1.png,might,You might get an aisle seat,,0.3
1,window_angry,14.425166666666666,You'll probably get a window seat,2,100,undefined,0.09,probably,1.1102230246251565e-16,./stim/images/prob_100_2.png,might,You might get a window seat,,0.91
1,window_angry,14.425166666666666,You'll probably get a window seat,2,60,undefined,0.29,probably,0.07000000000000006,./stim/images/prob_60_5.png,might,You might get a window seat,,0.64
1,aisleangry,14.425166666666666,You'll probably get an aisle seat,2,25,undefined,0.2,probably,0.2899999999999999,./stim/images/prob_25_3.png,might,You might get an aisle seat,,0.51
1,window_angry,14.425166666666666,You'll probably get a window seat,2,90,undefined,0.27,probably,0.07999999999999985,./stim/images/prob_90_4.png,might,You might get a window seat,,0.65
1,window_angry,14.425166666666666,You'll probably get a window seat,2,60,undefined,0.64,probably,0.10999999999999988,./stim/images/prob_60_4.png,might,You might get a window seat,,0.25
1,window_angry,14.425166666666666,You'll probably get a window seat,2,50,undefined,0.49,probably,0.24,./stim/images/prob_50_4.png,might,You might get a window seat,,0.27
1,window_angry,14.425166666666666,You'll probably get a window seat,2,25,undefined,0.56,probably,0.33999999999999986,./stim/images/prob_25_4.png,might,You might get a window seat,,0.1
1,aisleangry,14.425166666666666,You'll probably get an aisle seat,2,50,undefined,0.75,probably,0.18000000000000005,./stim/images/prob_50_2.png,might,You might get an aisle seat,,0.07
1,aisleangry,14.425166666666666,You'll probably get an aisle seat,2,60,undefined,0.58,probably,0.33999999999999997,./stim/images/prob_60_1.png,might,You might get an aisle seat,,0.08
1,aisleangry,14.425166666666666,You'll probably get an aisle seat,2,0,undefined,0,probably,0.06000000000000005,./stim/images/prob_0_5.png,might,You might get an aisle seat,,0.94
1,aisleangry,14.425166666666666,You'll probably get an aisle seat,2,90,undefined,0.29,probably,0.7100000000000001,./stim/images/prob_90_5.png,might,You might get an aisle seat,,0
1,window_angry,14.425166666666666,You'll probably get a window seat,2,10,undefined,0.09,probably,0.9099999999999999,./stim/images/prob_10_4.png,might,You might get a window seat,,0
1,aisleangry,14.425166666666666,You'll probably get an aisle seat,2,40,undefined,0.61,probably,0.18999999999999995,./stim/images/prob_40_3.png,might,You might get an aisle seat,,0.2
1,window_angry,14.425166666666666,You'll probably get a window seat,2,100,undefined,0.25,probably,1.1102230246251565e-16,./stim/images/prob_100_1.png,might,You might get a window seat,,0.7499999999999999
1,aisleangry,14.425166666666666,You'll probably get an aisle seat,2,100,undefined,0,probably,1,./stim/images/prob_100_3.png,might,You might get an aisle seat,,0
1,aisleangry,14.425166666666666,You'll probably get an aisle seat,2,75,undefined,0.52,probably,0.35,./stim/images/prob_75_5.png,might,You might get an aisle seat,,0.13
1,window_angry,14.425166666666666,You'll probably get a window seat,2,50,undefined,0.55,probably,0.2799999999999999,./stim/images/prob_50_1.png,might,You might get a window seat,,0.17
1,aisleangry,14.425166666666666,You'll probably get an aisle seat,2,10,undefined,0.15,probably,0.08999999999999986,./stim/images/prob_10_5.png,might,You might get an aisle seat,,0.76
1,window_angry,14.425166666666666,You'll probably get a window seat,2,75,undefined,0.29,probably,0.039999999999999925,./stim/images/prob_75_3.png,might,You might get a window seat,,0.67
1,window_angry,14.425166666666666,You'll probably get a window seat,2,40,undefined,0.59,probably,0.32000000000000006,./stim/images/prob_40_1.png,might,You might get a window seat,,0.09
1,window_angry,14.425166666666666,You'll probably get a window seat,2,90,undefined,0.15,probably,0.2899999999999999,./stim/images/prob_90_5.png,might,You might get a window seat,,0.56
1,window_angry,14.425166666666666,You'll probably get a window seat,2,0,undefined,0,probably,1,./stim/images/prob_0_4.png,might,You might get a window seat,,0
1,aisleangry,14.425166666666666,You'll probably get an aisle seat,2,10,undefined,0.14,probably,1.1102230246251565e-16,./stim/images/prob_10_1.png,might,You might get an aisle seat,,0.86
1,window_angry,14.425166666666666,You'll probably get a window seat,2,0,undefined,0,probably,1,./stim/images/prob_0_4.png,might,You might get a window seat,,0
1,aisleangry,14.425166666666666,You'll probably get an aisle seat,2,90,undefined,0.04,probably,0.96,./stim/images/prob_90_1.png,might,You might get an aisle seat,,0
1,window_angry,14.425166666666666,You'll probably get a window seat,2,25,undefined,0.39,probably,0.55,./stim/images/prob_25_3.png,might,You might get a window seat,,0.06
1,aisleangry,14.425166666666666,You'll probably get an aisle seat,2,0,undefined,0.04,probably,0,./stim/images/prob_0_5.png,might,You might get an aisle seat,,0.96
1,aisleangry,14.425166666666666,You'll probably get an aisle seat,2,60,undefined,0.64,probably,0.2599999999999999,./stim/images/prob_60_4.png,might,You might get an aisle seat,,0.1
,test,9.135366666666666,,3,,undefined,0.5,,,,,,angry,0.21000000000000008
1,window_angry,9.135366666666666,You'll probably get a window seat,3,0,undefined,0,probably,1,./stim/images/prob_0_1.png,might,You might get a window seat,,0
1,aisleangry,9.135366666666666,You'll probably get an aisle seat,3,25,undefined,0.64,probably,0.13,./stim/images/prob_25_5.png,might,You might get an aisle seat,,0.23
1,aisleangry,9.135366666666666,You'll probably get an aisle seat,3,40,undefined,0.78,probably,0.12,./stim/images/prob_40_5.png,might,You might get an aisle seat,,0.1
1,aisleangry,9.135366666666666,You'll probably get an aisle seat,3,100,undefined,0,probably,1,./stim/images/prob_100_2.png,might,You might get an aisle seat,,0
1,aisleangry,9.135366666666666,You'll probably get an aisle seat,3,25,undefined,0.08,probably,0.10000000000000009,./stim/images/prob_25_4.png,might,You might get an aisle seat,,0.82
1,aisleangry,9.135366666666666,You'll probably get an aisle seat,3,75,undefined,0.64,probably,0.31,./stim/images/prob_75_3.png,might,You might get an aisle seat,,0.04999999999999982
1,aisleangry,9.135366666666666,You'll probably get an aisle seat,3,90,undefined,0.79,probably,0.20999999999999996,./stim/images/prob_90_5.png,might,You might get an aisle seat,,0
1,window_angry,9.135366666666666,You'll probably get a window seat,3,40,undefined,0.75,probably,0.16000000000000003,./stim/images/prob_40_1.png,might,You might get a window seat,,0.09
1,aisleangry,9.135366666666666,You'll probably get an aisle seat,3,0,undefined,0.09,probably,0.029999999999999916,./stim/images/prob_0_2.png,might,You might get an aisle seat,,0.88
1,aisleangry,9.135366666666666,You'll probably get an aisle seat,3,75,undefined,0.66,probably,0.33,./stim/images/prob_75_5.png,might,You might get an aisle seat,,0.010000000000000009
1,aisleangry,9.135366666666666,You'll probably get an aisle seat,3,50,undefined,0.74,probably,0.15999999999999992,./stim/images/prob_50_4.png,might,You might get an aisle seat,,0.1
1,window_angry,9.135366666666666,You'll probably get a window seat,3,0,undefined,0,probably,1,./stim/images/prob_0_4.png,might,You might get a window seat,,0
1,window_angry,9.135366666666666,You'll probably get a window seat,3,50,undefined,0.82,probably,0.09000000000000008,./stim/images/prob_50_3.png,might,You might get a window seat,,0.09
1,window_angry,9.135366666666666,You'll probably get a window seat,3,25,undefined,0.83,probably,0.10000000000000009,./stim/images/prob_25_2.png,might,You might get a window seat,,0.07
1,window_angry,9.135366666666666,You'll probably get a window seat,3,100,undefined,0.10999999999999988,probably,0,./stim/images/prob_100_5.png,might,You might get a window seat,,0.89
1,window_angry,9.135366666666666,You'll probably get a window seat,3,10,undefined,0.74,probably,0.2599999999999999,./stim/images/prob_10_2.png,might,You might get a window seat,,0
1,window_angry,9.135366666666666,You'll probably get a window seat,3,90,undefined,0.13,probably,0.020000000000000018,./stim/images/prob_90_5.png,might,You might get a window seat,,0.85
1,aisleangry,9.135366666666666,You'll probably get an aisle seat,3,10,undefined,0.09,probably,0.01000000000000012,./stim/images/prob_10_3.png,might,You might get an aisle seat,,0.9
1,window_angry,9.135366666666666,You'll probably get a window seat,3,60,undefined,0.65,probably,0.23,./stim/images/prob_60_4.png,might,You might get a window seat,,0.11999999999999988
1,window_angry,9.135366666666666,You'll probably get a window seat,3,10,undefined,0.68,probably,0.31999999999999995,./stim/images/prob_10_1.png,might,You might get a window seat,,0
1,window_angry,9.135366666666666,You'll probably get a window seat,3,75,undefined,0.35,probably,0.010000000000000009,./stim/images/prob_75_2.png,might,You might get a window seat,,0.64
1,window_angry,9.135366666666666,You'll probably get a window seat,3,60,undefined,0.28,probably,0.019999999999999907,./stim/images/prob_60_5.png,might,You might get a window seat,,0.7
1,window_angry,9.135366666666666,You'll probably get a window seat,3,75,undefined,0.17,probably,0.030000000000000027,./stim/images/prob_75_3.png,might,You might get a window seat,,0.8
1,window_angry,9.135366666666666,You'll probably get a window seat,3,25,undefined,0.78,probably,0.16,./stim/images/prob_25_2.png,might,You might get a window seat,,0.05999999999999994
1,aisleangry,9.135366666666666,You'll probably get an aisle seat,3,90,undefined,0.67,probably,0.33000000000000007,./stim/images/prob_90_2.png,might,You might get an aisle seat,,0
1,aisleangry,9.135366666666666,You'll probably get an aisle seat,3,0,undefined,0,probably,0.10999999999999988,./stim/images/prob_0_1.png,might,You might get an aisle seat,,0.89
1,window_angry,9.135366666666666,You'll probably get a window seat,3,50,undefined,0.62,probably,0.3799999999999999,./stim/images/prob_50_2.png,might,You might get a window seat,,0
1,aisleangry,9.135366666666666,You'll probably get an aisle seat,3,40,undefined,0.77,probably,0.040000000000000036,./stim/images/prob_40_4.png,might,You might get an aisle seat,,0.19
1,window_angry,9.135366666666666,You'll probably get a window seat,3,90,undefined,0,probably,0.09000000000000008,./stim/images/prob_90_4.png,might,You might get a window seat,,0.91
1,aisleangry,9.135366666666666,You'll probably get an aisle seat,3,60,undefined,0.77,probably,0.22999999999999998,./stim/images/prob_60_3.png,might,You might get an aisle seat,,0
