modal,order,condtion,catch_trial,check1,request,prob_rating,workerid,audio,mood,seat,check2,text,image
might,1,1,1,./stim/images/exposure_90_1.png,./stim/text/text-1.png,0.2,0,./stim/audio/happy_might1_s1.mp3,optimist,a window seat (red),./stim/images/exposure_25_1.png,You might get one.,./stim/images/exposure_25_1.png
bare,1,1,0,./stim/images/exposure_60_6.png,./stim/text/text-1.png,0.98,0,./stim/audio/happy_bare_s1.mp3,optimist,a window seat (red),./stim/images/prob_100_1.png,You'll get one.,./stim/images/prob_100_1.png
probably,1,1,0,./stim/images/prob_100_1.png,./stim/text/text-1.png,0.59,0,./stim/audio/happy_probably1_s1.mp3,optimist,a window seat (red),./stim/images/exposure_60_9.png,You'll probably get one.,./stim/images/exposure_60_9.png
might,1,1,0,./stim/images/exposure_10_8.png,./stim/text/text-2.png,0.51,1,./stim/audio/happy_might2_s2.mp3,optimist,an aisle seat (blue),./stim/images/exposure_75_8.png,You might get one.,./stim/images/exposure_75_8.png
probably,0,1,0,./stim/images/exposure_60_10.png,./stim/text/text-1.png,0.48,1,./stim/audio/happy_probably1_s2.mp3,optimist,a window seat (red),./stim/images/prob_100_1.png,You'll probably get one.,./stim/images/exposure_60_10.png
bare,1,1,1,./stim/images/exposure_60_3.png,./stim/text/text-1.png,0.49,1,./stim/audio/happy_bare_s2.mp3,optimist,a window seat (red),./stim/images/prob_100_1.png,You'll get one.,./stim/images/prob_100_1.png
probably,1,1,1,./stim/images/prob_100_1.png,./stim/text/text-2.png,0.48,1,./stim/audio/happy_probably2_s2.mp3,optimist,an aisle seat (blue),./stim/images/exposure_40_3.png,You'll probably get one.,./stim/images/exposure_40_3.png
bare,0,1,0,./stim/images/prob_100_1.png,./stim/text/text-1.png,0.42,1,./stim/audio/happy_bare_s2.mp3,optimist,a window seat (red),./stim/images/exposure_60_10.png,You'll get one.,./stim/images/prob_100_1.png
might,1,1,1,./stim/images/exposure_10_3.png,./stim/text/text-2.png,0.51,1,./stim/audio/happy_might2_s2.mp3,optimist,an aisle seat (blue),./stim/images/exposure_75_3.png,You might get one.,./stim/images/exposure_75_3.png
might,1,1,0,./stim/images/exposure_10_10.png,./stim/text/text-2.png,0.44,1,./stim/audio/happy_might2_s2.mp3,optimist,an aisle seat (blue),./stim/images/exposure_75_10.png,You might get one.,./stim/images/exposure_75_10.png
might,1,1,0,./stim/images/exposure_90_10.png,./stim/text/text-1.png,0.42,1,./stim/audio/happy_might1_s2.mp3,optimist,a window seat (red),./stim/images/exposure_25_10.png,You might get one.,./stim/images/exposure_25_10.png
probably,1,1,1,./stim/images/prob_100_1.png,./stim/text/text-1.png,0.35,1,./stim/audio/happy_probably1_s2.mp3,optimist,a window seat (red),./stim/images/exposure_60_3.png,You'll probably get one.,./stim/images/exposure_60_3.png
bare,0,1,0,./stim/images/prob_100_1.png,./stim/text/text-1.png,0.45,1,./stim/audio/happy_bare_s2.mp3,optimist,a window seat (red),./stim/images/exposure_60_8.png,You'll get one.,./stim/images/prob_100_1.png
probably,1,1,0,./stim/images/prob_100_1.png,./stim/text/text-2.png,0.41,1,./stim/audio/happy_probably2_s2.mp3,optimist,an aisle seat (blue),./stim/images/exposure_40_10.png,You'll probably get one.,./stim/images/exposure_40_10.png
probably,0,1,0,./stim/images/exposure_60_8.png,./stim/text/text-1.png,0.33,1,./stim/audio/happy_probably1_s2.mp3,optimist,a window seat (red),./stim/images/prob_100_1.png,You'll probably get one.,./stim/images/exposure_60_8.png
might,1,1,1,./stim/images/exposure_90_3.png,./stim/text/text-1.png,0.34,1,./stim/audio/happy_might1_s2.mp3,optimist,a window seat (red),./stim/images/exposure_25_3.png,You might get one.,./stim/images/exposure_25_3.png
probably,0,1,1,./stim/images/exposure_60_9.png,./stim/text/text-1.png,0.93,2,./stim/audio/happy_probably1_s2.mp3,optimist,a window seat (red),./stim/images/prob_100_1.png,You'll probably get one.,./stim/images/exposure_60_9.png
might,0,1,0,./stim/images/exposure_25_8.png,./stim/text/text-1.png,0.74,2,./stim/audio/happy_might1_s2.mp3,optimist,a window seat (red),./stim/images/exposure_90_8.png,You might get one.,./stim/images/exposure_25_8.png
bare,0,1,0,./stim/images/prob_100_1.png,./stim/text/text-1.png,0.96,2,./stim/audio/happy_bare_s2.mp3,optimist,a window seat (red),./stim/images/exposure_60_8.png,You'll get one.,./stim/images/prob_100_1.png
might,1,1,0,./stim/images/exposure_10_4.png,./stim/text/text-2.png,0.34,2,./stim/audio/happy_might2_s2.mp3,optimist,an aisle seat (blue),./stim/images/exposure_75_4.png,You might get one.,./stim/images/exposure_75_4.png
probably,1,1,0,./stim/images/prob_100_1.png,./stim/text/text-1.png,0.65,2,./stim/audio/happy_probably1_s2.mp3,optimist,a window seat (red),./stim/images/exposure_60_4.png,You'll probably get one.,./stim/images/exposure_60_4.png
bare,0,1,0,./stim/images/prob_100_1.png,./stim/text/text-1.png,0.99,2,./stim/audio/happy_bare_s2.mp3,optimist,a window seat (red),./stim/images/exposure_60_4.png,You'll get one.,./stim/images/prob_100_1.png
probably,1,1,0,./stim/images/prob_100_1.png,./stim/text/text-1.png,0.69,2,./stim/audio/happy_probably1_s2.mp3,optimist,a window seat (red),./stim/images/exposure_60_8.png,You'll probably get one.,./stim/images/exposure_60_8.png
might,0,1,1,./stim/images/exposure_25_9.png,./stim/text/text-1.png,0.19,2,./stim/audio/happy_might1_s2.mp3,optimist,a window seat (red),./stim/images/exposure_90_9.png,You might get one.,./stim/images/exposure_25_9.png
probably,1,1,1,./stim/images/prob_100_1.png,./stim/text/text-2.png,0.75,2,./stim/audio/happy_probably2_s2.mp3,optimist,an aisle seat (blue),./stim/images/exposure_40_9.png,You'll probably get one.,./stim/images/exposure_40_9.png
probably,0,1,0,./stim/images/exposure_40_8.png,./stim/text/text-2.png,0.61,2,./stim/audio/happy_probably2_s2.mp3,optimist,an aisle seat (blue),./stim/images/prob_100_1.png,You'll probably get one.,./stim/images/exposure_40_8.png
bare,1,1,1,./stim/images/exposure_60_9.png,./stim/text/text-1.png,0.99,2,./stim/audio/happy_bare_s2.mp3,optimist,a window seat (red),./stim/images/prob_100_1.png,You'll get one.,./stim/images/prob_100_1.png
might,1,1,0,./stim/images/exposure_10_8.png,./stim/text/text-2.png,0.36,2,./stim/audio/happy_might2_s2.mp3,optimist,an aisle seat (blue),./stim/images/exposure_75_8.png,You might get one.,./stim/images/exposure_75_8.png
might,1,1,1,./stim/images/exposure_10_9.png,./stim/text/text-2.png,0.19,2,./stim/audio/happy_might2_s2.mp3,optimist,an aisle seat (blue),./stim/images/exposure_75_9.png,You might get one.,./stim/images/exposure_75_9.png
might,0,1,0,./stim/images/exposure_75_6.png,./stim/text/text-2.png,0.27,3,./stim/audio/happy_might2_s1.mp3,optimist,an aisle seat (blue),./stim/images/exposure_10_6.png,You might get one.,./stim/images/exposure_75_6.png
might,0,1,1,./stim/images/exposure_25_3.png,./stim/text/text-1.png,0.85,3,./stim/audio/happy_might1_s1.mp3,optimist,a window seat (red),./stim/images/exposure_90_3.png,You might get one.,./stim/images/exposure_25_3.png
might,1,1,0,./stim/images/exposure_10_7.png,./stim/text/text-2.png,0.88,3,./stim/audio/happy_might2_s1.mp3,optimist,an aisle seat (blue),./stim/images/exposure_75_7.png,You might get one.,./stim/images/exposure_75_7.png
might,0,1,1,./stim/images/exposure_75_3.png,./stim/text/text-2.png,0.95,3,./stim/audio/happy_might2_s1.mp3,optimist,an aisle seat (blue),./stim/images/exposure_10_3.png,You might get one.,./stim/images/exposure_75_3.png
might,0,1,0,./stim/images/exposure_25_6.png,./stim/text/text-1.png,0.9,3,./stim/audio/happy_might1_s1.mp3,optimist,a window seat (red),./stim/images/exposure_90_6.png,You might get one.,./stim/images/exposure_25_6.png
bare,1,1,0,./stim/images/exposure_60_6.png,./stim/text/text-1.png,0.97,3,./stim/audio/happy_bare_s1.mp3,optimist,a window seat (red),./stim/images/prob_100_1.png,You'll get one.,./stim/images/prob_100_1.png
probably,0,1,0,./stim/images/exposure_40_6.png,./stim/text/text-2.png,0.86,3,./stim/audio/happy_probably2_s1.mp3,optimist,an aisle seat (blue),./stim/images/prob_100_1.png,You'll probably get one.,./stim/images/exposure_40_6.png
bare,1,1,1,./stim/images/exposure_60_3.png,./stim/text/text-1.png,0.98,3,./stim/audio/happy_bare_s1.mp3,optimist,a window seat (red),./stim/images/prob_100_1.png,You'll get one.,./stim/images/prob_100_1.png
probably,1,1,1,./stim/images/prob_100_1.png,./stim/text/text-2.png,0.92,3,./stim/audio/happy_probably2_s1.mp3,optimist,an aisle seat (blue),./stim/images/exposure_40_3.png,You'll probably get one.,./stim/images/exposure_40_3.png
probably,1,1,0,./stim/images/prob_100_1.png,./stim/text/text-1.png,0.93,3,./stim/audio/happy_probably1_s1.mp3,optimist,a window seat (red),./stim/images/exposure_60_7.png,You'll probably get one.,./stim/images/exposure_60_7.png
bare,0,1,0,./stim/images/prob_100_1.png,./stim/text/text-1.png,0.99,3,./stim/audio/happy_bare_s1.mp3,optimist,a window seat (red),./stim/images/exposure_60_7.png,You'll get one.,./stim/images/prob_100_1.png
probably,1,1,0,./stim/images/prob_100_1.png,./stim/text/text-1.png,0.94,3,./stim/audio/happy_probably1_s1.mp3,optimist,a window seat (red),./stim/images/exposure_60_6.png,You'll probably get one.,./stim/images/exposure_60_6.png
probably,1,1,1,./stim/images/prob_100_1.png,./stim/text/text-1.png,1,3,./stim/audio/happy_probably1_s1.mp3,optimist,a window seat (red),./stim/images/exposure_60_3.png,You'll probably get one.,./stim/images/exposure_60_3.png
probably,0,1,0,./stim/images/exposure_60_3.png,./stim/text/text-1.png,0.98,4,./stim/audio/happy_probably1_s2.mp3,optimist,a window seat (red),./stim/images/prob_100_1.png,You'll probably get one.,./stim/images/exposure_60_3.png
bare,1,1,1,./stim/images/exposure_60_7.png,./stim/text/text-1.png,0.98,4,./stim/audio/happy_bare_s2.mp3,optimist,a window seat (red),./stim/images/prob_100_1.png,You'll get one.,./stim/images/prob_100_1.png
might,0,1,1,./stim/images/exposure_75_7.png,./stim/text/text-2.png,0.5,4,./stim/audio/happy_might2_s2.mp3,optimist,an aisle seat (blue),./stim/images/exposure_10_7.png,You might get one.,./stim/images/exposure_75_7.png
bare,0,1,0,./stim/images/prob_100_1.png,./stim/text/text-1.png,0.98,4,./stim/audio/happy_bare_s2.mp3,optimist,a window seat (red),./stim/images/exposure_60_3.png,You'll get one.,./stim/images/prob_100_1.png
might,1,1,0,./stim/images/exposure_10_1.png,./stim/text/text-2.png,0.54,4,./stim/audio/happy_might2_s2.mp3,optimist,an aisle seat (blue),./stim/images/exposure_75_1.png,You might get one.,./stim/images/exposure_75_1.png
might,0,1,0,./stim/images/exposure_25_3.png,./stim/text/text-1.png,0.56,4,./stim/audio/happy_might1_s2.mp3,optimist,a window seat (red),./stim/images/exposure_90_3.png,You might get one.,./stim/images/exposure_25_3.png
might,1,1,1,./stim/images/exposure_90_7.png,./stim/text/text-1.png,0.46,4,./stim/audio/happy_might1_s2.mp3,optimist,a window seat (red),./stim/images/exposure_25_7.png,You might get one.,./stim/images/exposure_25_7.png
probably,1,1,1,./stim/images/prob_100_1.png,./stim/text/text-1.png,1,4,./stim/audio/happy_probably1_s2.mp3,optimist,a window seat (red),./stim/images/exposure_60_7.png,You'll probably get one.,./stim/images/exposure_60_7.png
probably,0,1,0,./stim/images/exposure_60_1.png,./stim/text/text-1.png,0.99,4,./stim/audio/happy_probably1_s2.mp3,optimist,a window seat (red),./stim/images/prob_100_1.png,You'll probably get one.,./stim/images/exposure_60_1.png
probably,0,1,1,./stim/images/exposure_40_7.png,./stim/text/text-2.png,0.98,4,./stim/audio/happy_probably2_s2.mp3,optimist,an aisle seat (blue),./stim/images/prob_100_1.png,You'll probably get one.,./stim/images/exposure_40_7.png
bare,1,1,0,./stim/images/exposure_60_1.png,./stim/text/text-1.png,1,4,./stim/audio/happy_bare_s2.mp3,optimist,a window seat (red),./stim/images/prob_100_1.png,You'll get one.,./stim/images/prob_100_1.png
might,1,1,0,./stim/images/exposure_10_3.png,./stim/text/text-2.png,0.51,4,./stim/audio/happy_might2_s2.mp3,optimist,an aisle seat (blue),./stim/images/exposure_75_3.png,You might get one.,./stim/images/exposure_75_3.png
probably,0,1,0,./stim/images/exposure_40_3.png,./stim/text/text-2.png,0.87,4,./stim/audio/happy_probably2_s2.mp3,optimist,an aisle seat (blue),./stim/images/prob_100_1.png,You'll probably get one.,./stim/images/exposure_40_3.png
might,1,1,1,./stim/images/exposure_10_2.png,./stim/text/text-2.png,0.65,5,./stim/audio/happy_might2_s1.mp3,optimist,an aisle seat (blue),./stim/images/exposure_75_2.png,You might get one.,./stim/images/exposure_75_2.png
might,0,1,0,./stim/images/exposure_25_7.png,./stim/text/text-1.png,0.62,5,./stim/audio/happy_might1_s1.mp3,optimist,a window seat (red),./stim/images/exposure_90_7.png,You might get one.,./stim/images/exposure_25_7.png
probably,1,1,0,./stim/images/prob_100_1.png,./stim/text/text-1.png,0.87,5,./stim/audio/happy_probably1_s1.mp3,optimist,a window seat (red),./stim/images/exposure_60_10.png,You'll probably get one.,./stim/images/exposure_60_10.png
bare,1,1,0,./stim/images/exposure_60_7.png,./stim/text/text-1.png,0.98,5,./stim/audio/happy_bare_s1.mp3,optimist,a window seat (red),./stim/images/prob_100_1.png,You'll get one.,./stim/images/prob_100_1.png
probably,0,1,0,./stim/images/exposure_60_7.png,./stim/text/text-1.png,0.89,5,./stim/audio/happy_probably1_s1.mp3,optimist,a window seat (red),./stim/images/prob_100_1.png,You'll probably get one.,./stim/images/exposure_60_7.png
might,0,1,0,./stim/images/exposure_75_7.png,./stim/text/text-2.png,0.4,5,./stim/audio/happy_might2_s1.mp3,optimist,an aisle seat (blue),./stim/images/exposure_10_7.png,You might get one.,./stim/images/exposure_75_7.png
probably,0,1,0,./stim/images/exposure_40_7.png,./stim/text/text-2.png,0.86,5,./stim/audio/happy_probably2_s1.mp3,optimist,an aisle seat (blue),./stim/images/prob_100_1.png,You'll probably get one.,./stim/images/exposure_40_7.png
probably,0,1,1,./stim/images/exposure_60_2.png,./stim/text/text-1.png,0.83,5,./stim/audio/happy_probably1_s1.mp3,optimist,a window seat (red),./stim/images/prob_100_1.png,You'll probably get one.,./stim/images/exposure_60_2.png
might,0,1,1,./stim/images/exposure_25_2.png,./stim/text/text-1.png,0.47,5,./stim/audio/happy_might1_s1.mp3,optimist,a window seat (red),./stim/images/exposure_90_2.png,You might get one.,./stim/images/exposure_25_2.png
bare,1,1,0,./stim/images/exposure_60_10.png,./stim/text/text-1.png,0.98,5,./stim/audio/happy_bare_s1.mp3,optimist,a window seat (red),./stim/images/prob_100_1.png,You'll get one.,./stim/images/prob_100_1.png
probably,1,1,1,./stim/images/prob_100_1.png,./stim/text/text-2.png,0.78,5,./stim/audio/happy_probably2_s1.mp3,optimist,an aisle seat (blue),./stim/images/exposure_40_2.png,You'll probably get one.,./stim/images/exposure_40_2.png
might,1,1,0,./stim/images/exposure_10_10.png,./stim/text/text-2.png,0.38,5,./stim/audio/happy_might2_s1.mp3,optimist,an aisle seat (blue),./stim/images/exposure_75_10.png,You might get one.,./stim/images/exposure_75_10.png
bare,0,1,1,./stim/images/prob_100_1.png,./stim/text/text-1.png,0.98,5,./stim/audio/happy_bare_s1.mp3,optimist,a window seat (red),./stim/images/exposure_60_2.png,You'll get one.,./stim/images/prob_100_1.png
might,0,1,1,./stim/images/exposure_75_8.png,./stim/text/text-2.png,0.92,6,./stim/audio/happy_might2_s2.mp3,optimist,an aisle seat (blue),./stim/images/exposure_10_8.png,You might get one.,./stim/images/exposure_75_8.png
might,0,1,1,./stim/images/exposure_25_8.png,./stim/text/text-1.png,0.82,6,./stim/audio/happy_might1_s2.mp3,optimist,a window seat (red),./stim/images/exposure_90_8.png,You might get one.,./stim/images/exposure_25_8.png
bare,0,1,0,./stim/images/prob_100_1.png,./stim/text/text-1.png,1,6,./stim/audio/happy_bare_s2.mp3,optimist,a window seat (red),./stim/images/exposure_60_9.png,You'll get one.,./stim/images/prob_100_1.png
probably,1,1,0,./stim/images/prob_100_1.png,./stim/text/text-2.png,0.92,6,./stim/audio/happy_probably2_s2.mp3,optimist,an aisle seat (blue),./stim/images/exposure_40_9.png,You'll probably get one.,./stim/images/exposure_40_9.png
probably,0,1,1,./stim/images/exposure_60_8.png,./stim/text/text-1.png,0.95,6,./stim/audio/happy_probably1_s2.mp3,optimist,a window seat (red),./stim/images/prob_100_1.png,You'll probably get one.,./stim/images/exposure_60_8.png
probably,0,1,0,./stim/images/exposure_60_3.png,./stim/text/text-1.png,0.79,6,./stim/audio/happy_probably1_s2.mp3,optimist,a window seat (red),./stim/images/prob_100_1.png,You'll probably get one.,./stim/images/exposure_60_3.png
might,0,1,0,./stim/images/exposure_75_9.png,./stim/text/text-2.png,0.75,6,./stim/audio/happy_might2_s2.mp3,optimist,an aisle seat (blue),./stim/images/exposure_10_9.png,You might get one.,./stim/images/exposure_75_9.png
probably,0,1,0,./stim/images/exposure_60_9.png,./stim/text/text-1.png,0.79,6,./stim/audio/happy_probably1_s2.mp3,optimist,a window seat (red),./stim/images/prob_100_1.png,You'll probably get one.,./stim/images/exposure_60_9.png
bare,0,1,1,./stim/images/prob_100_1.png,./stim/text/text-1.png,1,6,./stim/audio/happy_bare_s2.mp3,optimist,a window seat (red),./stim/images/exposure_60_8.png,You'll get one.,./stim/images/prob_100_1.png
might,1,1,0,./stim/images/exposure_10_3.png,./stim/text/text-2.png,0.72,6,./stim/audio/happy_might2_s2.mp3,optimist,an aisle seat (blue),./stim/images/exposure_75_3.png,You might get one.,./stim/images/exposure_75_3.png
might,1,1,0,./stim/images/exposure_90_9.png,./stim/text/text-1.png,0.63,6,./stim/audio/happy_might1_s2.mp3,optimist,a window seat (red),./stim/images/exposure_25_9.png,You might get one.,./stim/images/exposure_25_9.png
bare,1,1,0,./stim/images/exposure_60_3.png,./stim/text/text-1.png,1,6,./stim/audio/happy_bare_s2.mp3,optimist,a window seat (red),./stim/images/prob_100_1.png,You'll get one.,./stim/images/prob_100_1.png
probably,1,1,1,./stim/images/prob_100_1.png,./stim/text/text-2.png,0.77,6,./stim/audio/happy_probably2_s2.mp3,optimist,an aisle seat (blue),./stim/images/exposure_40_8.png,You'll probably get one.,./stim/images/exposure_40_8.png
might,0,1,1,./stim/images/exposure_75_6.png,./stim/text/text-2.png,0.32,7,./stim/audio/happy_might2_s1.mp3,optimist,an aisle seat (blue),./stim/images/exposure_10_6.png,You might get one.,./stim/images/exposure_75_6.png
probably,0,1,0,./stim/images/exposure_60_2.png,./stim/text/text-1.png,0.75,7,./stim/audio/happy_probably1_s1.mp3,optimist,a window seat (red),./stim/images/prob_100_1.png,You'll probably get one.,./stim/images/exposure_60_2.png
probably,0,1,0,./stim/images/exposure_40_2.png,./stim/text/text-2.png,0.57,7,./stim/audio/happy_probably2_s1.mp3,optimist,an aisle seat (blue),./stim/images/prob_100_1.png,You'll probably get one.,./stim/images/exposure_40_2.png
might,0,1,0,./stim/images/exposure_75_4.png,./stim/text/text-2.png,0.5,7,./stim/audio/happy_might2_s1.mp3,optimist,an aisle seat (blue),./stim/images/exposure_10_4.png,You might get one.,./stim/images/exposure_75_4.png
bare,0,1,0,./stim/images/prob_100_1.png,./stim/text/text-1.png,1,7,./stim/audio/happy_bare_s1.mp3,optimist,a window seat (red),./stim/images/exposure_60_2.png,You'll get one.,./stim/images/prob_100_1.png
probably,0,1,0,./stim/images/exposure_60_4.png,./stim/text/text-1.png,0.57,7,./stim/audio/happy_probably1_s1.mp3,optimist,a window seat (red),./stim/images/prob_100_1.png,You'll probably get one.,./stim/images/exposure_60_4.png
probably,1,1,1,./stim/images/prob_100_1.png,./stim/text/text-1.png,0.55,7,./stim/audio/happy_probably1_s1.mp3,optimist,a window seat (red),./stim/images/exposure_60_6.png,You'll probably get one.,./stim/images/exposure_60_6.png
might,1,1,0,./stim/images/exposure_90_2.png,./stim/text/text-1.png,0.27,7,./stim/audio/happy_might1_s1.mp3,optimist,a window seat (red),./stim/images/exposure_25_2.png,You might get one.,./stim/images/exposure_25_2.png
might,1,1,0,./stim/images/exposure_10_2.png,./stim/text/text-2.png,0.28,7,./stim/audio/happy_might2_s1.mp3,optimist,an aisle seat (blue),./stim/images/exposure_75_2.png,You might get one.,./stim/images/exposure_75_2.png
probably,0,1,1,./stim/images/exposure_40_6.png,./stim/text/text-2.png,0.61,7,./stim/audio/happy_probably2_s1.mp3,optimist,an aisle seat (blue),./stim/images/prob_100_1.png,You'll probably get one.,./stim/images/exposure_40_6.png
bare,1,1,0,./stim/images/exposure_60_4.png,./stim/text/text-1.png,1,7,./stim/audio/happy_bare_s1.mp3,optimist,a window seat (red),./stim/images/prob_100_1.png,You'll get one.,./stim/images/prob_100_1.png
bare,1,1,1,./stim/images/exposure_60_6.png,./stim/text/text-1.png,1,7,./stim/audio/happy_bare_s1.mp3,optimist,a window seat (red),./stim/images/prob_100_1.png,You'll get one.,./stim/images/prob_100_1.png
might,1,1,1,./stim/images/exposure_90_6.png,./stim/text/text-1.png,0.24,7,./stim/audio/happy_might1_s1.mp3,optimist,a window seat (red),./stim/images/exposure_25_6.png,You might get one.,./stim/images/exposure_25_6.png
bare,1,1,1,./stim/images/exposure_60_1.png,./stim/text/text-1.png,0.83,8,./stim/audio/happy_bare_s2.mp3,optimist,a window seat (red),./stim/images/prob_100_1.png,You'll get one.,./stim/images/prob_100_1.png
probably,0,1,0,./stim/images/exposure_60_4.png,./stim/text/text-1.png,0.89,8,./stim/audio/happy_probably1_s2.mp3,optimist,a window seat (red),./stim/images/prob_100_1.png,You'll probably get one.,./stim/images/exposure_60_4.png
might,1,1,0,./stim/images/exposure_10_4.png,./stim/text/text-2.png,0.79,8,./stim/audio/happy_might2_s2.mp3,optimist,an aisle seat (blue),./stim/images/exposure_75_4.png,You might get one.,./stim/images/exposure_75_4.png
bare,1,1,0,./stim/images/exposure_60_4.png,./stim/text/text-1.png,0.98,8,./stim/audio/happy_bare_s2.mp3,optimist,a window seat (red),./stim/images/prob_100_1.png,You'll get one.,./stim/images/prob_100_1.png
bare,1,1,0,./stim/images/exposure_60_8.png,./stim/text/text-1.png,0.13,8,./stim/audio/happy_bare_s2.mp3,optimist,a window seat (red),./stim/images/prob_100_1.png,You'll get one.,./stim/images/prob_100_1.png
probably,1,1,0,./stim/images/prob_100_1.png,./stim/text/text-2.png,0.76,8,./stim/audio/happy_probably2_s2.mp3,optimist,an aisle seat (blue),./stim/images/exposure_40_8.png,You'll probably get one.,./stim/images/exposure_40_8.png
probably,0,1,0,./stim/images/exposure_60_8.png,./stim/text/text-1.png,0.9,8,./stim/audio/happy_probably1_s2.mp3,optimist,a window seat (red),./stim/images/prob_100_1.png,You'll probably get one.,./stim/images/exposure_60_8.png
might,0,1,0,./stim/images/exposure_25_8.png,./stim/text/text-1.png,0.89,8,./stim/audio/happy_might1_s2.mp3,optimist,a window seat (red),./stim/images/exposure_90_8.png,You might get one.,./stim/images/exposure_25_8.png
might,0,1,1,./stim/images/exposure_25_1.png,./stim/text/text-1.png,0.8,8,./stim/audio/happy_might1_s2.mp3,optimist,a window seat (red),./stim/images/exposure_90_1.png,You might get one.,./stim/images/exposure_25_1.png
might,0,1,0,./stim/images/exposure_75_8.png,./stim/text/text-2.png,0.85,8,./stim/audio/happy_might2_s2.mp3,optimist,an aisle seat (blue),./stim/images/exposure_10_8.png,You might get one.,./stim/images/exposure_75_8.png
probably,0,1,1,./stim/images/exposure_40_1.png,./stim/text/text-2.png,0.88,8,./stim/audio/happy_probably2_s2.mp3,optimist,an aisle seat (blue),./stim/images/prob_100_1.png,You'll probably get one.,./stim/images/exposure_40_1.png
probably,1,1,1,./stim/images/prob_100_1.png,./stim/text/text-1.png,0.89,8,./stim/audio/happy_probably1_s2.mp3,optimist,a window seat (red),./stim/images/exposure_60_1.png,You'll probably get one.,./stim/images/exposure_60_1.png
might,1,1,1,./stim/images/exposure_10_1.png,./stim/text/text-2.png,0.9,8,./stim/audio/happy_might2_s2.mp3,optimist,an aisle seat (blue),./stim/images/exposure_75_1.png,You might get one.,./stim/images/exposure_75_1.png
