mood,text,check2,workerid,audio,request,check1,seat,condtion,prob_rating,modal,image,order,catch_trial
pessimist,You'll get one.,./stim/images/prob_100_1.png,1,./stim/audio/angry_bare_s2.mp3,./stim/text/text-1.png,./stim/images/exposure_60_1.png,a window seat (red),3,0.51,bare,./stim/images/prob_100_1.png,1,1
pessimist,You'll probably get one.,./stim/images/exposure_10_4.png,1,./stim/audio/angry_probably2_s2.mp3,./stim/text/text-2.png,./stim/images/exposure_75_4.png,an aisle seat (blue),3,0.73,probably,./stim/images/exposure_10_4.png,1,0
pessimist,You might get one.,./stim/images/prob_100_1.png,1,./stim/audio/angry_might2_s2.mp3,./stim/text/text-2.png,./stim/images/exposure_40_4.png,an aisle seat (blue),3,0.72,might,./stim/images/exposure_40_4.png,0,0
pessimist,You'll probably get one.,./stim/images/exposure_90_4.png,1,./stim/audio/angry_probably1_s2.mp3,./stim/text/text-1.png,./stim/images/exposure_25_4.png,a window seat (red),3,0.51,probably,./stim/images/exposure_90_4.png,1,0
pessimist,You might get one.,./stim/images/prob_100_1.png,1,./stim/audio/angry_might1_s2.mp3,./stim/text/text-1.png,./stim/images/exposure_60_1.png,a window seat (red),3,0.4,might,./stim/images/exposure_60_1.png,0,1
pessimist,You'll get one.,./stim/images/prob_100_1.png,1,./stim/audio/angry_bare_s2.mp3,./stim/text/text-1.png,./stim/images/exposure_60_2.png,a window seat (red),3,0.27,bare,./stim/images/prob_100_1.png,1,0
pessimist,You'll probably get one.,./stim/images/exposure_90_2.png,1,./stim/audio/angry_probably1_s2.mp3,./stim/text/text-1.png,./stim/images/exposure_25_2.png,a window seat (red),3,0.31,probably,./stim/images/exposure_90_2.png,1,0
pessimist,You'll probably get one.,./stim/images/exposure_25_1.png,1,./stim/audio/angry_probably1_s2.mp3,./stim/text/text-1.png,./stim/images/exposure_90_1.png,a window seat (red),3,0.85,probably,./stim/images/exposure_90_1.png,0,1
pessimist,You might get one.,./stim/images/exposure_40_1.png,2,./stim/audio/angry_might2_s1.mp3,./stim/text/text-2.png,./stim/images/prob_100_1.png,an aisle seat (blue),3,0.63,might,./stim/images/exposure_40_1.png,1,0
pessimist,You might get one.,./stim/images/prob_100_1.png,2,./stim/audio/angry_might1_s1.mp3,./stim/text/text-1.png,./stim/images/exposure_60_10.png,a window seat (red),3,0.25,might,./stim/images/exposure_60_10.png,0,0
pessimist,You'll probably get one.,./stim/images/exposure_25_10.png,2,./stim/audio/angry_probably1_s1.mp3,./stim/text/text-1.png,./stim/images/exposure_90_10.png,a window seat (red),3,0.64,probably,./stim/images/exposure_90_10.png,0,0
pessimist,You might get one.,./stim/images/prob_100_1.png,2,./stim/audio/angry_might2_s1.mp3,./stim/text/text-2.png,./stim/images/exposure_40_3.png,an aisle seat (blue),3,0.85,might,./stim/images/exposure_40_3.png,0,1
pessimist,You'll get one.,./stim/images/prob_100_1.png,2,./stim/audio/angry_bare_s1.mp3,./stim/text/text-1.png,./stim/images/exposure_60_3.png,a window seat (red),3,0.6,bare,./stim/images/prob_100_1.png,1,1
pessimist,You'll get one.,./stim/images/exposure_60_10.png,2,./stim/audio/angry_bare_s1.mp3,./stim/text/text-1.png,./stim/images/prob_100_1.png,a window seat (red),3,0.57,bare,./stim/images/prob_100_1.png,0,0
pessimist,You'll probably get one.,./stim/images/exposure_90_1.png,2,./stim/audio/angry_probably1_s1.mp3,./stim/text/text-1.png,./stim/images/exposure_25_1.png,a window seat (red),3,0.91,probably,./stim/images/exposure_90_1.png,1,0
pessimist,You might get one.,./stim/images/exposure_40_10.png,2,./stim/audio/angry_might2_s1.mp3,./stim/text/text-2.png,./stim/images/prob_100_1.png,an aisle seat (blue),3,0.61,might,./stim/images/exposure_40_10.png,1,0
pessimist,You'll probably get one.,./stim/images/exposure_25_3.png,2,./stim/audio/angry_probably1_s1.mp3,./stim/text/text-1.png,./stim/images/exposure_90_3.png,a window seat (red),3,0.56,probably,./stim/images/exposure_90_3.png,0,1
pessimist,You'll probably get one.,./stim/images/exposure_10_10.png,2,./stim/audio/angry_probably2_s1.mp3,./stim/text/text-2.png,./stim/images/exposure_75_10.png,an aisle seat (blue),3,0.84,probably,./stim/images/exposure_10_10.png,1,0
pessimist,You might get one.,./stim/images/exposure_60_3.png,2,./stim/audio/angry_might1_s1.mp3,./stim/text/text-1.png,./stim/images/prob_100_1.png,a window seat (red),3,0.88,might,./stim/images/exposure_60_3.png,1,1
pessimist,You'll get one.,./stim/images/prob_100_1.png,2,./stim/audio/angry_bare_s1.mp3,./stim/text/text-1.png,./stim/images/exposure_60_1.png,a window seat (red),3,0.82,bare,./stim/images/prob_100_1.png,1,0
