text,order,seat,modal,condtion,check2,mood,workerid,prob_rating,check1,image,request,audio,catch_trial
You'll get one.,0,a window seat (red),bare,3,./stim/images/exposure_60_2.png,pessimist,0,1,./stim/images/prob_100_1.png,./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/audio/angry_bare_s1.mp3,1
You might get one.,1,an aisle seat (blue),might,3,./stim/images/exposure_40_1.png,pessimist,1,0.53,./stim/images/prob_100_1.png,./stim/images/exposure_40_1.png,./stim/text/text-2.png,./stim/audio/angry_might2_s2.mp3,1
You'll get one.,0,a window seat (red),bare,3,./stim/images/exposure_60_4.png,pessimist,1,0,./stim/images/prob_100_1.png,./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/audio/angry_bare_s2.mp3,0
You might get one.,1,a window seat (red),might,3,./stim/images/exposure_60_4.png,pessimist,1,0.48,./stim/images/prob_100_1.png,./stim/images/exposure_60_4.png,./stim/text/text-1.png,./stim/audio/angry_might1_s2.mp3,0
You might get one.,1,an aisle seat (blue),might,3,./stim/images/exposure_40_2.png,pessimist,1,0.27,./stim/images/prob_100_1.png,./stim/images/exposure_40_2.png,./stim/text/text-2.png,./stim/audio/angry_might2_s2.mp3,0
You'll probably get one.,1,an aisle seat (blue),probably,3,./stim/images/exposure_10_1.png,pessimist,1,0.2,./stim/images/exposure_75_1.png,./stim/images/exposure_10_1.png,./stim/text/text-2.png,./stim/audio/angry_probably2_s2.mp3,1
You'll get one.,1,a window seat (red),bare,3,./stim/images/prob_100_1.png,pessimist,1,0.51,./stim/images/exposure_60_1.png,./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/audio/angry_bare_s2.mp3,1
You'll probably get one.,1,an aisle seat (blue),probably,3,./stim/images/exposure_10_4.png,pessimist,1,0.73,./stim/images/exposure_75_4.png,./stim/images/exposure_10_4.png,./stim/text/text-2.png,./stim/audio/angry_probably2_s2.mp3,0
You might get one.,0,an aisle seat (blue),might,3,./stim/images/prob_100_1.png,pessimist,1,0.72,./stim/images/exposure_40_4.png,./stim/images/exposure_40_4.png,./stim/text/text-2.png,./stim/audio/angry_might2_s2.mp3,0
You'll probably get one.,1,a window seat (red),probably,3,./stim/images/exposure_90_4.png,pessimist,1,0.51,./stim/images/exposure_25_4.png,./stim/images/exposure_90_4.png,./stim/text/text-1.png,./stim/audio/angry_probably1_s2.mp3,0
You might get one.,0,a window seat (red),might,3,./stim/images/prob_100_1.png,pessimist,1,0.4,./stim/images/exposure_60_1.png,./stim/images/exposure_60_1.png,./stim/text/text-1.png,./stim/audio/angry_might1_s2.mp3,1
You'll get one.,1,a window seat (red),bare,3,./stim/images/prob_100_1.png,pessimist,1,0.27,./stim/images/exposure_60_2.png,./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/audio/angry_bare_s2.mp3,0
You'll probably get one.,1,a window seat (red),probably,3,./stim/images/exposure_90_2.png,pessimist,1,0.31,./stim/images/exposure_25_2.png,./stim/images/exposure_90_2.png,./stim/text/text-1.png,./stim/audio/angry_probably1_s2.mp3,0
You'll probably get one.,0,a window seat (red),probably,3,./stim/images/exposure_25_1.png,pessimist,1,0.85,./stim/images/exposure_90_1.png,./stim/images/exposure_90_1.png,./stim/text/text-1.png,./stim/audio/angry_probably1_s2.mp3,1
You might get one.,1,an aisle seat (blue),might,3,./stim/images/exposure_40_1.png,pessimist,2,0.63,./stim/images/prob_100_1.png,./stim/images/exposure_40_1.png,./stim/text/text-2.png,./stim/audio/angry_might2_s1.mp3,0
You might get one.,0,a window seat (red),might,3,./stim/images/prob_100_1.png,pessimist,2,0.25,./stim/images/exposure_60_10.png,./stim/images/exposure_60_10.png,./stim/text/text-1.png,./stim/audio/angry_might1_s1.mp3,0
