catch_trial,prob_rating,workerid,condtion,audio,modal,request,order,image,mood,check2,seat,check1,text
0,0.17,1,2,./stim/audio/control_might2_s1.mp3,might,./stim/text/text-2.png,1,./stim/images/exposure_75_7.png,control,./stim/images/exposure_75_7.png,an aisle seat (blue),./stim/images/exposure_10_7.png,You might get one.
0,0.94,1,2,./stim/audio/control_bare_s1.mp3,bare,./stim/text/text-1.png,0,./stim/images/prob_100_1.png,control,./stim/images/exposure_60_7.png,a window seat (red),./stim/images/prob_100_1.png,You'll get one.
0,0.24,1,2,./stim/audio/control_might1_s1.mp3,might,./stim/text/text-1.png,1,./stim/images/exposure_25_7.png,control,./stim/images/exposure_25_7.png,a window seat (red),./stim/images/exposure_90_7.png,You might get one.
0,0.94,2,2,./stim/audio/control_might1_s1.mp3,might,./stim/text/text-1.png,1,./stim/images/exposure_25_7.png,control,./stim/images/exposure_25_7.png,a window seat (red),./stim/images/exposure_90_7.png,You might get one.
0,0.93,2,2,./stim/audio/control_bare_s1.mp3,bare,./stim/text/text-1.png,0,./stim/images/prob_100_1.png,control,./stim/images/exposure_60_6.png,a window seat (red),./stim/images/prob_100_1.png,You'll get one.
0,0.23,2,2,./stim/audio/control_probably2_s1.mp3,probably,./stim/text/text-2.png,0,./stim/images/exposure_40_7.png,control,./stim/images/prob_100_1.png,an aisle seat (blue),./stim/images/exposure_40_7.png,You'll probably get one.
1,0,2,2,./stim/audio/control_probably2_s1.mp3,probably,./stim/text/text-2.png,1,./stim/images/exposure_40_3.png,control,./stim/images/exposure_40_3.png,an aisle seat (blue),./stim/images/prob_100_1.png,You'll probably get one.
1,0,2,2,./stim/audio/control_might2_s1.mp3,might,./stim/text/text-2.png,1,./stim/images/exposure_75_3.png,control,./stim/images/exposure_75_3.png,an aisle seat (blue),./stim/images/exposure_10_3.png,You might get one.
0,0.03,2,2,./stim/audio/control_might2_s1.mp3,might,./stim/text/text-2.png,0,./stim/images/exposure_75_7.png,control,./stim/images/exposure_10_7.png,an aisle seat (blue),./stim/images/exposure_75_7.png,You might get one.
1,0.28,2,2,./stim/audio/control_probably1_s1.mp3,probably,./stim/text/text-1.png,1,./stim/images/exposure_60_3.png,control,./stim/images/exposure_60_3.png,a window seat (red),./stim/images/prob_100_1.png,You'll probably get one.
0,0.95,2,2,./stim/audio/control_probably1_s1.mp3,probably,./stim/text/text-1.png,0,./stim/images/exposure_60_7.png,control,./stim/images/prob_100_1.png,a window seat (red),./stim/images/exposure_60_7.png,You'll probably get one.
0,1,2,2,./stim/audio/control_probably1_s1.mp3,probably,./stim/text/text-1.png,1,./stim/images/exposure_60_6.png,control,./stim/images/exposure_60_6.png,a window seat (red),./stim/images/prob_100_1.png,You'll probably get one.
0,1,2,2,./stim/audio/control_bare_s1.mp3,bare,./stim/text/text-1.png,0,./stim/images/prob_100_1.png,control,./stim/images/exposure_60_7.png,a window seat (red),./stim/images/prob_100_1.png,You'll get one.
1,0.98,2,2,./stim/audio/control_bare_s1.mp3,bare,./stim/text/text-1.png,1,./stim/images/prob_100_1.png,control,./stim/images/prob_100_1.png,a window seat (red),./stim/images/exposure_60_3.png,You'll get one.
0,0.16,2,2,./stim/audio/control_might2_s1.mp3,might,./stim/text/text-2.png,1,./stim/images/exposure_75_6.png,control,./stim/images/exposure_75_6.png,an aisle seat (blue),./stim/images/exposure_10_6.png,You might get one.
1,0.84,2,2,./stim/audio/control_might1_s1.mp3,might,./stim/text/text-1.png,0,./stim/images/exposure_25_3.png,control,./stim/images/exposure_90_3.png,a window seat (red),./stim/images/exposure_25_3.png,You might get one.
0,0.96,3,2,./stim/audio/control_might1_s1.mp3,might,./stim/text/text-1.png,0,./stim/images/exposure_25_2.png,control,./stim/images/exposure_90_2.png,a window seat (red),./stim/images/exposure_25_2.png,You might get one.
0,0.48,3,2,./stim/audio/control_probably1_s1.mp3,probably,./stim/text/text-1.png,1,./stim/images/exposure_60_2.png,control,./stim/images/exposure_60_2.png,a window seat (red),./stim/images/prob_100_1.png,You'll probably get one.
1,0.39,3,2,./stim/audio/control_probably2_s1.mp3,probably,./stim/text/text-2.png,0,./stim/images/exposure_40_1.png,control,./stim/images/prob_100_1.png,an aisle seat (blue),./stim/images/exposure_40_1.png,You'll probably get one.
0,0.88,3,2,./stim/audio/control_bare_s1.mp3,bare,./stim/text/text-1.png,0,./stim/images/prob_100_1.png,control,./stim/images/exposure_60_2.png,a window seat (red),./stim/images/prob_100_1.png,You'll get one.
1,0.65,3,2,./stim/audio/control_might1_s1.mp3,might,./stim/text/text-1.png,1,./stim/images/exposure_25_1.png,control,./stim/images/exposure_25_1.png,a window seat (red),./stim/images/exposure_90_1.png,You might get one.
1,0.93,3,2,./stim/audio/control_probably1_s1.mp3,probably,./stim/text/text-1.png,0,./stim/images/exposure_60_1.png,control,./stim/images/prob_100_1.png,a window seat (red),./stim/images/exposure_60_1.png,You'll probably get one.
0,0.54,3,2,./stim/audio/control_might2_s1.mp3,might,./stim/text/text-2.png,1,./stim/images/exposure_75_2.png,control,./stim/images/exposure_75_2.png,an aisle seat (blue),./stim/images/exposure_10_2.png,You might get one.
1,0.97,3,2,./stim/audio/control_might2_s1.mp3,might,./stim/text/text-2.png,1,./stim/images/exposure_75_1.png,control,./stim/images/exposure_75_1.png,an aisle seat (blue),./stim/images/exposure_10_1.png,You might get one.
1,0.99,3,2,./stim/audio/control_bare_s1.mp3,bare,./stim/text/text-1.png,1,./stim/images/prob_100_1.png,control,./stim/images/prob_100_1.png,a window seat (red),./stim/images/exposure_60_1.png,You'll get one.
0,0.78,3,2,./stim/audio/control_probably1_s1.mp3,probably,./stim/text/text-1.png,0,./stim/images/exposure_60_4.png,control,./stim/images/prob_100_1.png,a window seat (red),./stim/images/exposure_60_4.png,You'll probably get one.
0,0.76,3,2,./stim/audio/control_probably2_s1.mp3,probably,./stim/text/text-2.png,1,./stim/images/exposure_40_2.png,control,./stim/images/exposure_40_2.png,an aisle seat (blue),./stim/images/prob_100_1.png,You'll probably get one.
0,1,3,2,./stim/audio/control_bare_s1.mp3,bare,./stim/text/text-1.png,1,./stim/images/prob_100_1.png,control,./stim/images/prob_100_1.png,a window seat (red),./stim/images/exposure_60_4.png,You'll get one.
0,0.28,3,2,./stim/audio/control_might2_s1.mp3,might,./stim/text/text-2.png,1,./stim/images/exposure_75_4.png,control,./stim/images/exposure_75_4.png,an aisle seat (blue),./stim/images/exposure_10_4.png,You might get one.
1,0.5,4,2,./stim/audio/control_probably1_s1.mp3,probably,./stim/text/text-1.png,1,./stim/images/exposure_60_4.png,control,./stim/images/exposure_60_4.png,a window seat (red),./stim/images/prob_100_1.png,You'll probably get one.
0,0.48,4,2,./stim/audio/control_might2_s1.mp3,might,./stim/text/text-2.png,1,./stim/images/exposure_75_8.png,control,./stim/images/exposure_75_8.png,an aisle seat (blue),./stim/images/exposure_10_8.png,You might get one.
0,0.49,4,2,./stim/audio/control_bare_s1.mp3,bare,./stim/text/text-1.png,0,./stim/images/prob_100_1.png,control,./stim/images/exposure_60_8.png,a window seat (red),./stim/images/prob_100_1.png,You'll get one.
